12:09:18.905 [main] INFO  o.j.w.environment.servletWeldServlet - WELD-ENV-001008: Initialize Weld using ServletContainerInitializer
12:09:18.921 [main] INFO  org.jboss.weld.Version - WELD-000900: 3.1.9 (Final)
12:09:19.011 [main] WARN  org.jboss.weld.Bootstrap - WELD-ENV-000028: Weld initialization skipped - no bean archive found
12:14:41.782 [main] INFO  o.j.w.environment.servletWeldServlet - WELD-ENV-001008: Initialize Weld using ServletContainerInitializer
12:14:41.794 [main] INFO  org.jboss.weld.Version - WELD-000900: 3.1.9 (Final)
12:14:41.884 [main] WARN  org.jboss.weld.Bootstrap - WELD-ENV-000028: Weld initialization skipped - no bean archive found
12:16:17.272 [main] INFO  o.j.w.environment.servletWeldServlet - WELD-ENV-001008: Initialize Weld using ServletContainerInitializer
12:16:17.283 [main] INFO  org.jboss.weld.Version - WELD-000900: 3.1.9 (Final)
12:16:17.364 [main] WARN  org.jboss.weld.Bootstrap - WELD-ENV-000028: Weld initialization skipped - no bean archive found
12:21:29.137 [main] INFO  o.j.w.environment.servletWeldServlet - WELD-ENV-001008: Initialize Weld using ServletContainerInitializer
12:21:29.149 [main] INFO  org.jboss.weld.Version - WELD-000900: 3.1.9 (Final)
12:21:29.321 [main] INFO  org.jboss.weld.Bootstrap - WELD-000101: Transactional services not available. Injection of @Inject UserTransaction not available. Transactional observers will be invoked synchronously.
12:21:29.458 [main] INFO  o.j.weld.environment.servletJetty - WELD-ENV-001200: Jetty 7.2+ detected, CDI injection will be available in Servlets and Filters. Injection into Listeners should work on Jetty 9.1.1 and newer.
12:28:35.322 [main] INFO  o.j.w.environment.servletWeldServlet - WELD-ENV-001008: Initialize Weld using ServletContainerInitializer
12:28:35.335 [main] INFO  org.jboss.weld.Version - WELD-000900: 3.1.9 (Final)
12:28:35.504 [main] INFO  org.jboss.weld.Bootstrap - WELD-000101: Transactional services not available. Injection of @Inject UserTransaction not available. Transactional observers will be invoked synchronously.
12:28:35.639 [main] INFO  o.j.weld.environment.servletJetty - WELD-ENV-001200: Jetty 7.2+ detected, CDI injection will be available in Servlets and Filters. Injection into Listeners should work on Jetty 9.1.1 and newer.
